State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Housholds_with_Electric_Lighting,LPG_or_PNG_Households,Rural_Households,Urban_Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age not stated,Having_latrine_facility_within_the_premises_Total_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_3_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,sex_ratio,literacy_rate
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,31,580320,308754,271566,428578,5250,244372,184206,548579,14678,1452,13926,574,591,110,410,119866,53722,192787,51509,50331,89407,83992,95232,59363,36803,8280,527492,321533,167168,90808,811,90587,8513,11613,15608,30610,22556,27001,7452,880,74
Himachal Pradesh,Una,31.58330388349513,76.18353932038836,29,521173,263692,257481,399715,2412,213281,186434,480138,14275,390,26009,56,70,10,225,105929,43809,185091,20126,51838,87913,81256,105204,60626,32120,5511,512203,273223,142351,105358,241,66103,4431,8047,13184,27689,24668,26829,4851,976,77
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,16,409936,213641,196295,219083,596,138620,80463,187621,220614,472,422,21,22,42,722,61831,7963,122267,11350,43794,47350,62719,48359,31416,12647,1846,411696,263576,93189,52744,427,23060,1782,6482,9190,14876,16753,25349,4188,919,53
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,21,1529958,813821,716137,1137135,19905,641916,495219,1289240,107489,12104,114272,470,1987,321,4075,294739,197168,254566,248043,135391,185962,253542,261852,159257,146501,30616,1441400,816827,435895,275585,1651,162522,6386,20036,39453,81952,71753,68820,13616,880,74
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,4,140802,77785,63017,86236,235,56301,29935,10341,108239,604,1171,20126,28,4,289,15824,3285,40370,7774,12732,19083,20874,16938,9826,3077,408,122792,87532,35561,17488,221,17649,689,834,983,1652,2356,6832,4866,810,61
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,7,616435,326109,290326,389204,1443,228499,160705,540063,64234,1828,9551,24,16,2,717,109422,32772,181374,33473,69396,82715,106411,91522,47694,24330,4504,607869,357864,160123,97684,764,26033,2476,7394,12854,26670,27609,33057,7776,890,63
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,12,560440,293064,267376,293958,1537,178326,115632,13840,535159,1109,9440,35,6,18,833,73629,16828,147520,21703,36201,54808,73991,67368,40931,31286,5897,500851,342601,137032,80111,696,53836,705,2291,5461,11863,15618,31436,13867,912,52
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,5,476835,251899,224936,261724,346,163333,98391,32604,431279,958,11188,83,10,2,711,62900,13160,132139,15269,55762,72024,69219,46062,29517,13962,1884,452474,304979,109818,61334,704,16586,1531,7435,10664,15825,18028,31443,3952,893,55
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,10,1236829,651124,585705,748584,16413,431746,316838,42540,1177342,2746,12187,285,74,2,1653,165403,138119,4518,257721,88911,173309,178723,176409,132727,121856,32114,1214274,693238,351561,190330,1700,164002,2326,6626,15425,37998,41505,49622,13946,900,61
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,19,554985,296784,258201,322354,1214,197543,124811,489044,59771,1962,3418,106,57,235,392,73999,20008,148664,34696,58567,80129,86008,55024,29657,17345,4030,525598,339145,140785,74757,298,18063,1758,4971,8878,17980,20243,31098,8634,870,58
